id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
484,grouper raw,238,2.6,0.6,0.5,0.8,0,0,50.2,0,95.8,0.1,205.2,0.1,0.2,77,45,13,0.8,1.9,0.8,0,0,0,0,69.9,27,2.3,80.3,42,419.6,1251.00,59,1.2,125.1
485,ocean perch cooked,48,0.9,0.2,0.3,0.2,0,0,9.3,0,31.5,0.2,37.1,11,31,71,95,44,18,0.6,0.2,21,0,42,0.5,69,17,73,0.1,13.5,75,150,113,4,10368
486,ling raw,168,1.2,0.2,0.2,0.4,0,0,36.7,0,77.2,0.3,153.7,41,0.2,52,88,0.4,4.4,0.6,0.6,0,0,0,0,65.6,0.2,1.3,121.6,26,382.1,731.5,69,1.5,104862
487,lingcod cooked,329,4.1,0.8,1.3,1.2,0,0,68.4,0,202.3,0.2,228.6,54,0.1,24,15,0.4,7,2.6,1,0,0,0,0,54.4,0.1,1.2,99.7,67,779.2,1691.20,0.1,1.8,128139
488,florida pompano raw,184,10.6,3.9,2.9,1.3,0,0,20.7,0,56.0,81,79.7,91,0.6,38,8,0.1,3.4,0.8,0.2,0,98,0.2,41,24.6,11,0.7,30.2,12,218.4,426.7,25,0.8,56.69
489,rockfish cooked,162,2.4,0.6,0.7,0.7,0,0,33.1,0,90.9,0.1,111.3,12,6,81,68,55,0.3,4.3,0.6,0.4,0,4,0.7,0,25.3,46,0.5,49.2,13,369.5,695.8,0.1,35955
490,seatrout cooked,247,8.6,2.4,2.1,1.7,0,0,39.9,0,197.2,0.1,133.8,6,0.1,33,32,0.4,5.4,1.6,0.9,0,0,0,0,40.9,71,0.7,74.4,48,597.1,812.8,2,1.1,90142
491,sockeye salmon raw,562,22.2,4.7,7.4,7.7,0,0,84.4,0,209.9,0.4,289.7,0.2,0.7,73,65,0.5,32.2,4.6,2.4,0,86,3.8,21,39.6,0.2,1.7,118.8,64,1053.40,1358.30,0.1,1.7,148.1
492,swordfish cooked,182,8.4,2,3.8,1.5,0,0,24.9,0,82.7,0.1,72.4,75,78,94,48,5,10,9.8,0.4,0.7,0,38,2.6,22,6.4,45,0.5,37.1,41,322.2,528.9,28,34203
493,american shad raw,362,25.3,5.8,10.5,6,0,0,31.2,0,138.0,1,125.5,9,0.3,96,57,0.4,15.5,1.4,0.7,0,97,2.2,19,86.5,0.1,1.8,55.2,17,500.5,706.6,92,0.7,144868
494,sardine canned in oil,310,17.1,2.3,5.8,7.7,0,0,36.7,0,211.6,0.5,88.8,51,0.1,67,75,0.3,7.8,1,0.2,0,40,3,63,569.2,0.3,4.4,58.1,0.2,730.1,591.5,77,2,627452
495,anchovy canned in oil,8,0.4,1,0.2,0.1,0,0,1.2,0,3.4,0.1,2,12,0,7,61,71,0.8,8,82,0,70,0.1,13,9.3,97,0.2,2.8,5,10.1,21.8,23,31,11106
496,salmon canned,520,20.3,5.5,7.1,5.6,0,0,79.1,0,143.9,1.8,261.1,64,79,72,55,0.6,25.8,2.1,1.4,0,0,5.9,20,918.8,0.4,2.6,110.7,22,1306.30,1107.00,0.2,3.7,1020882
497,sardines in tomato sauce canned,165,9.3,2.4,4.3,1.9,0.5,0.4,18.6,9,54.3,0.4,59.5,36,14,93,98,0.2,3.7,0.6,0.1,0.9,17,1.2,12,213.6,0.2,2,30.3,0.2,325.7,303.5,24,1.2,244978
498,sockeye salmon canned,563,24.9,4.9,8.4,6,0,0,79.5,0,266.2,1.4,229.4,0.2,0.1,96,14,0.7,25.7,1.8,0.4,0,90,7,18,781.8,0.2,2.2,104.5,8,1139.10,1058.20,0.1,2.8,888.6
499,tuna canned,102,2.4,0.6,0.6,0.9,0,0,18.9,0,33.6,0.3,58.6,17,32,87,75,79,4.6,86,0.2,0,70,0.7,99,11.2,99,0.8,26.4,78,173.6,189.6,25,0.4,33.32
500,pink salmon canned,530,20.4,3.5,5,5.8,0,0,80.9,0,226.1,1.7,304.3,25,61,54,31,0.8,26.9,2.3,1.2,0,18,2.6,44,883.7,0.3,2.6,123.3,70,1385.10,1413.80,0.1,3.1,987651
501,cod canned,328,2.7,0.5,0.4,0.9,0,0,71,0,171.6,0.7,235.9,46,0.3,60,40,0.2,7.8,0.5,0.9,3.1,66,2.6,63,65.5,0.1,1.5,127.9,61,811.2,1647.40,0.1,1.8,143814
502,eastern oyster canned,110,4,1,0.4,1.2,6.3,0,11.4,0,89.1,0.2,137.9,0.1,0.2,9,89,0.3,2,0.3,0.2,8.1,0,1.4,56,72.9,7.2,10.9,87.5,0.7,225.2,371,78,147.3,113.7
503,chum salmon canned,520,20.3,5.5,7.1,5.6,0,0,79.1,0,143.9,0.3,261.1,14,92,54,12,0.6,25.8,2.1,1.4,0,0,0,0,918.8,0.4,2.6,110.7,37,1306.30,1107.00,0.2,3.7,1020805
504,tuna canned in oil,331,14.4,2.3,5.8,5.3,0,0,47.2,0,55.2,0.7,114,30,44,22,33,0.1,20.8,0.7,0.8,0,0,4.1,73,7.1,0.2,1.2,60.5,81,475.3,592.7,0.1,0.8,69953
505,wild pink salmon oceans,320,16,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
506,shrimp canned,128,1.7,0.2,0.1,0.9,0,0,26.1,0,322.6,1.1,97.1,0,39,78,81,99,0.7,0.2,54,5.2,0,1.4,0,185.6,0.3,2.7,42.2,0.5,249.6,102.4,36,2.5,221.3
507,alaska king crab raw,144,1,0.2,0.1,0.2,0,0,31.5,0,72.2,1.4,136.9,48,15,82,4,26,1.9,0.6,0.3,12,0,0,0,79.1,1.6,1,84.3,21,376.7,350.9,2,10.2,124608
508,scallops fried,64,3.2,0.8,2.1,0.1,6.4,0,2.6,0,18.0,0.2,11.5,59,49,81,89,0.1,0,75,13,0,0,0,0,3.1,99,0.3,5.3,8,48.7,49,32,0.2,15698
509,shrimp cooked,7,92,23,3,0,13,0,1.3,0,11.6,12,3.9,21,31,98,77,2,0.1,26,41,0,80,0.1,1,5,10,9,2,77,16.8,9.4,80,8,6398
510,clams fried,19,1,0.3,0.4,0.3,1,0,1.3,0,5.7,68,5.8,8,91,59,83,42,0.2,10,11,0.9,0,0,0,5.9,69,1.3,1.3,78,17.7,30.6,22,0.1,11464
511,alaska king crab cooked,130,2.1,0.2,0.2,0.7,0,0,25.9,0,71.0,1.4,103.9,18,5,2,20,70,1.8,0.5,0.2,10.2,0,0,0,79.1,1.6,1,84.4,93,375.2,351.1,3,10.2,118.35
512,scallops cooked,11,58,92,96,86,0.5,0,2.1,0,4.1,60,7,50,91,11,15,67,49,0.1,4,32,0,0,0,0,1,57,41,3.7,4,42.6,31.4,42,2732
513,squid fried,140,6,1.5,2.2,1.7,6.2,0,14.4,0,208.0,0.2,51.6,35,48,60,50,0.4,2.1,0.4,33,3.4,0,0,0,31.2,1.7,0.8,30.4,46,200.8,223.2,87,1.4,62028
514,oyster raw,41,1.2,0.3,0.2,0.4,2.5,0,4.7,0,25.0,59,41,93,52,88,18,0.1,1,0.3,26,4,0,0,0,4,0.8,2.6,11,0.3,81,84,100,8.3,19054
515,abalone,89,0.6,0.1,20,91,5.1,0,14.5,0,72.3,0.3,63.4,56,0.2,38,57,90,1.3,2.6,0.1,1.7,0,3.4,43,26.4,0.2,2.7,40.8,14,161.5,212.5,95,0.7,51092
516,queen crab raw,25,0.3,96,27,0.1,0,0,5.2,0,15.6,0.2,22.8,93,32,1,82,63,0.7,24,59,2,0,0,0,7.4,0.2,0.7,13.9,82,37.6,49,33,0.8,15607
517,whelk cooked,78,0.2,3,68,37,4.4,0,13.5,0,36.8,0.1,9.1,13,76,57,84,55,0.6,0.1,0.2,1.9,0,0,0,32,0.6,2.8,48.7,0.3,79.8,196.4,47,0.9,54806
518,oyster cooked,41,1.2,0.3,0.2,0.4,2.5,0,4.7,0,25.0,66,16,82,99,5,7,0.1,0.9,0.2,43,3.2,0,0.2,47,4,0.7,2.3,11,0.3,60.8,75.5,64,8.3,17971
519,eastern oyster cooked,8,0.2,73,4,18,0.7,0,0.7,0,3.7,38,8,90,20,86,99,12,0.2,83,23,0.6,0,0,0,5.5,0.1,0.8,3.2,81,11.3,14.9,11,4.4,8598
520,blue mussels cooked,344,9,1.7,2,2.4,14.8,0,47.6,0,112.0,0.7,122.3,0.2,0.6,0.2,26,0.8,6,1.9,0.2,27.2,0,0,0,66,0.3,13.4,74,13.6,570,536,0.2,5.3,178.2
521,octopus raw,23,0.3,2,42,38,0.6,0,4.2,0,13.6,64,22.7,59,66,9,43,64,0.6,0.1,0.1,1.4,0,0.3,74,15,0.1,1.5,8.5,19,52.6,99.1,44,0.5,23044
